a1,a2,a3,src,tgt,meas_rank,pred_rank,meas_defect,pred_defect,match
4,4,4,125,81,78,78,3,3,True
4,4,5,150,108,102,102,6,6,True
4,4,6,175,135,126,126,9,9,True
4,5,5,180,144,132,132,12,12,True
4,5,6,210,180,162,162,18,18,True
4,6,6,245,225,197,197,28,28,True
4,6,7,280,270,232,232,38,38,True
4,6,8,315,315,267,267,48,48,True
4,7,7,320,324,272,272,48,48,True
4,7,8,360,378,312,312,48,48,True
5,5,5,216,192,168,168,24,24,True
5,5,6,252,240,204,204,36,36,True
5,6,6,294,300,246,246,48,48,True
5,6,7,336,360,288,288,48,48,True
5,6,8,378,420,330,330,48,48,True
5,7,7,384,432,336,336,48,48,True
5,7,8,432,504,384,384,48,48,True
6,6,6,343,375,295,295,48,48,True
6,6,7,392,450,344,344,48,48,True
6,6,8,441,525,393,393,48,48,True
6,7,7,448,540,400,400,48,48,True
7,7,7,512,648,464,464,48,48,True
